search;regex
service national;service.+national
secourisme;secourisme
sportif;sportif
sportif de haut niveau;sportif.+haut.+niveau
journée défense et citoyenneté;(jdc|journ[ée]e.+d[ée]fense.+et.+citoyennet[ée])
parcours de performance fédéral;parcours.+performance.+f[ée]d[ée]ral
ppf;(^|\s)ppf(\s|$)
shn;(^|\s)shn(\s|$)
allocation;(^|\s)allocations?(\s|$)
aeeh;(^|\s)aeeh(\s|$)
allocation education enfant handicape;allocation.+education.+enfant.+handicap[ée]
arbitres et juges de haut niveau;arbitres.+et.+juges.+haut.+niveau
athlète;(^|\s)athl[èe]te(\s|$)
