Organisme	démarches	dossiers
Préfecture de Seine-et-Marne	1	107968
Ministère de l'Économie, des Finances et de la Relance	1	58696
Préfecture de la Gironde	2	52484
ARS Ile-de-France	11	34502
Ministère de la Transition Ecologique et Solidaire	5	32038
Préfecture de police	3	29111
Agence régionale de santé Auvergne Rhône-Alpes	11	23192
Ministère de la Culture	81	21561
Ministère en charge de la construction	4	16737
Centre national du cinéma et de l'image animée	8	15412
DIRECCTE HAUTS-DE-FRANCE	6	13529
Ministère des solidarités et de la santé	5	12390
Préfecture de police 	2	10795
Agence du Numérique en Santé	10	10550
Pass Culture	2	10526
DGALN/DGEC, Ministère de la transition écologique et de la cohésion des territoires	1	9283
Délégation Générale à l'Emploi et la Formation Professionnelle	16	9179
France Travail Services	1	8970
Agence régionale de Santé des pays de la Loire	5	8720
Cabinet du Secrétariat général des ministères Écologie Énergie Territoires Mer	1	8694
DDPP de la Vendée	3	8036
BRNT, SDCAP, SRNH, DGPR, Ministère de la transition écologique et de la cohésion des territoires	6	8022
Santé publique France	12	7281
Gestion des certificats de numérotation	1	6729
Ministère de l'enseignement supérieur et de l'insertion professionnelle	2	6431
DDPP22	5	5860
DDETSPP79	4	5352
Agence Régionale de Santé Centre Val de Loire	23	5270
Mission à l'Emploi des Travailleurs Handicapés, DGEFP	20	4826
Direction Départementale de la Protection des Populations	6	4610
Ministère de l’Économie, des Finances et de la Souveraineté industrielle et numérique	2	4506
Direction de la Sécurisation des Parcours	4	4304
DRAAF Pays de la Loire	19	4134
Direction Générales des Entreprises, Ministères de l'économie des finances et de la souveraineté industrielle et numérique	3	3896
Sicoval	3	3773
DDTM 33	3	3732
DGS	4	3279
 Sous-direction de la protection des usagers de la route, bureau de l'expertise automobile	1	3219
DGALN	1	3183
Banque des Territoires	4	3157
Ministère du logement/Direction générale de l'aménagement, du logement et de la nature/ Direction de l'habitat, l'urbanisme et les paysages	1	3085
Ministère de la Transition Ecologique	13	3072
ministère de la Culture	1	2974
Direction départementale des territoires et de la mer du Var / Service Mer et Littoral / Bureau Activités Maritimes	1	2948
Bureau des lycées professionnels, de l'apprentissage et de la formation professionnelle continue  (Dgesco A2-2)	1	2946
DDETSPP40	10	2810
Ministere de l'agriculture et de la souverainete alimentaire	1	2803
Agence Régionale de Santé Île-de-France	14	2690
Ministères économiques et financiers	1	2518
Direction de l'eau et de la biodiversité, Direction Générale de l'Aménagement du Logement et de la Nature, Ministère de la Transition Écologique et de la cohésion des territoires	1	2475
Direction de l'habitat, de l'urbanisme et des paysages, DGALN, Ministère de la transition écologique et de la cohésion des territoires	1	2380
Préfecture de la Manche	10	2360
PREFECTURE DE LA SOMME	3	2332
ANSM	23	2317
Préfecture du val d'oise	7	2273
DDPP56	2	2113
Direction des Affaires Juridiques	1	2051
Drieets ILe-de-France	3	2008
Préfecture de la Haute-Marne	6	1922
MINISTERE DES SOLIDARITES ET DE LA SANTE 	2	1894
Préfecture de la Loire-Atlantique	3	1841
Direction Régionale et Interdépartementale de l'Economie, de l'Emploi, du Travail et des Solidarités	1	1830
Direction générale de l'alimentation (DGAL)	2	1827
Préfecture de la Seine-Saint-Denis	7	1790
Urssaf Rhône-Alpes	3	1784
Préfecture de l'Ariège	5	1776
Préfecture de l'Oise	3	1729
DDTM de l'Hérault	3	1705
URSSAF Provence-Alpes-Côte d'Azur - Travailleurs indépendants	12	1577
DGCS - Direction Générale de la Cohésion Sociale	6	1554
URSSAF	5	1460
L'Agence du Numérique	2	1424
MSA Ardèche Drôme Loire	2	1373
DREAL NA, MTE	1	1350
ARS Guadeloupe, Saint-Martin et Saint-Barthélemy	6	1345
ARS PACA	46	1333
préfecture de police	2	1328
Préfecture de la Loire	9	1317
URSSAF Ile-de-France	14	1317
DDTM 33, MASA	2	1278
DINUM	35	1254
Urssaf Centre-Val de Loire	1	1253
DEETS DE LA REUNION	2	1230
URSSAF Aquitaine	5	1215
Préfecture du Morbihan	8	1209
SGS ICS	1	1202
Dinum - beta.gouv.fr	1	1181
URSSAF NORMANDIE	10	1180
DREETS Pays de la Loire	1	1178
Direction de la citoyenneté et de la légalité	2	1175
Préfecture de l'Essonne	27	1164
DDETSPP du Gers	2	1146
URSSAF MIPY	16	1145
Direction Interministérielle du Numérique (DINUM)	3	1129
Institut des hautes études de défense nationale, Services du Premier Ministre	5	1125
Direction Départementale des Territoires et de la Mer du Gard	1	1118
Direction Départementale des Territoires de la Drôme	6	1092
Sercice Sercurité des Transports et des Véhicules, Département Sécurité Education et Circulation Routière	15	1056
Agence Régionale de Santé Ile-de-France	5	1042
URSSAF Languedoc Roussillon - Travailleurs indépendants	14	1041
Sante publique France	7	1034
DDTM	6	1011
CPAM	5	975
DDETSPP24	1	953
Direction Départementale de l'Emploi, du Travail, des Solidarités et de la Protection des Populations de Lot-et-Garonne	2	937
SDIS 17	8	926
Caf de la Haute-Vienne	23	902
direction régionale de l’Alimentation, de l’Agriculture et de la Forêt, préfecture de Nouvelle aquitaine,  ministère de l'Agriculture et de la Souveraineté alimentaire	2	871
DRAAF PAYS DE LA LOIRE, DDTM44,  DDT 49, DDT 53, DDT 72, DDTM 85	9	866
