Titre	démarches	dossiers
Vérification préalable à l'embauche- Préfecture de Seine-et-Marne	1	107968
DÉCLARATION DES DONS	1	58696
Authentification des titres de séjour et des autorisations de travail	1	51827
Déclaration de détention d'animaux d'espèces non domestiques	1	29699
PREFECTURE DE POLICE - Délivrance d'une carte de stationnement pour les titulaires d'une autorisation de stationnement (ADS) de taxis parisiens (changement de véhicule ou d'horodateur, perte ou vol de la carte de stationnement, première délivrance)       	1	20280
Demande de visa exceptionnel pour 30 séances maximum (100 pour les documentaires)	1	14442
Demande de médaille d'honneur du travail - Pas de Calais	2	13456
ADELI Ile-de-France _ Changement de situation - Sept 2021	1	12577
Attestation d'accessibilité d'un établissement recevant du public de catégorie 5	2	11943
ADELI - Changement de situation - 	1	10874
Pass Culture - Dossier de coordonnées bancaires	1	10419
FONDS VERT - Rénovation énergétique des bâtiments publics locaux	1	9283
ADELI Ile de France - Enregistrement des auxiliaires médicaux - Sept 2021	1	9013
Demande personnelle de formulaire U1 / E301	1	8970
Demande de médaille d'honneur des chemins de fer	1	8694
PREFECTURE DE POLICE - Déclaration des débuts et des fins de contrats de travail ou de location-gérance des professionnels de taxis parisiens	1	7849
ADELI - Auxiliaires médicaux	2	7806
DDPP85 / Influenza aviaire / Demande de LPS 2022	1	7356
TOPO DESK - Direction du Domaine Public - Certificat de numérotation	1	6729
Demande de code spécifique pour l'inscription sur la liste des produits et prestations	2	6453
Service sanitaire: recueil d'information par étudiant	2	6431
 PP/DUPA : Déclaration d'ouverture d'un restaurant ou d'une vente à emporter	1	6177
Référencement des verres d'optique médicale de classe A et identification ligne générique verres de classe B pris en charge sur la LPP	1	5757
Mise à jour des coordonnées bancaires d'un point de remboursement	2	5677
DDPP22 / Influenza aviaire / Demande de LPS 	1	5307
DDETSPP79 / Influenza aviaire / Demande de LPS 2022	1	5217
FONDS VERT - Rénovation des parcs de luminaires d’éclairage public	1	5126
ADELI Ile de France - Enregistrement des psychologues - Sept 2021	1	4976
