query,results_count,total_dossiers_count,link
(pi[eè]ce|carte).+?identit[eé],3871,3669474,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/_pi_e_ce_carte_identit_e_.json
passeport,2290,1962173,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/passeport.json
justificatif.+domicile,1792,1748133,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/justificatif_domicile.json
titre.+s[ée]jour,1093,1518936,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/titre_s_e_jour.json
photo.+identit[ée],1364,1401989,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/photo_identit_e_.json
([ée]l[ée]ctricit[ée]|gaz),972,1177549,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/_e_l_e_ctricit_e_gaz_.json
quittance.+loyer,718,1058146,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/quittance_loyer.json
p[eé]riodes.+travaill[ée]e,15,879261,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/p_e_riodes_travaill_e_e.json
dipl[oô]me,2121,623133,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/dipl_o_me.json
\svisa\s,322,559504,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/_visa_.json
justificatif.+nationalit[ée],208,458398,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/justificatif_nationalit_e_.json
[ée]tat.+civil,352,441431,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/_e_tat_civil.json
service.+national,169,428127,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/service_national.json
permis.+conduire,652,426508,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/permis_conduire.json
service.+militaire,80,412515,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/service_militaire.json
taxe.+habitation,364,412211,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/taxe_habitation.json
livret.+famille,1738,392064,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/livret_famille.json
certificat.+m[ée]dical,647,353029,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/certificat_m_e_dical.json
\srib,2010,303838,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/_rib.json
certificat.+scolarit[ée],691,273635,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/certificat_scolarit_e_.json
titre.+propri[ée]t[ée],885,134244,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/titre_propri_e_t_e_.json
plan.+cadastral,870,133506,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/plan_cadastral.json
kbis,621,125899,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/kbis.json
lettre.+motivation,995,125061,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/lettre_motivation.json
\scv\s,508,113141,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/_cv_.json
quotient\sfamilial,214,64788,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/quotient_familial.json
statu.+entreprise,73,27712,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/statu_entreprise.json
\srge\s,2,80,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/_rge_.json
qualibat,0,0,https://github.com/betagouv/hackaton-ds-exploration/blob/main/search_attachments/qualibat.json
